iter	Passed	Remaining
0	0	94
1	1	85
2	2	80
3	3	74
4	3	72
5	4	71
6	5	69
7	5	68
8	6	68
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	63
15	12	63
16	12	63
17	17	79
18	18	79
19	19	78
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	31	69
31	32	68
32	33	67
33	34	66
34	35	66
35	36	65
36	37	64
37	38	62
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	58
44	46	57
45	47	56
46	49	55
47	50	54
48	51	53
49	52	52
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	70	28
71	71	27
72	72	26
73	72	25
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	91	0
